"legacy_id","legacy_customer_id","new_customer_uuid","new_customer_code","new_traveller_uuid","customer_type","deduplicated_to_legacy_id","association_method"
"1799","63223","6b141313-ea31-56db-a75a-95c8f1173e36","LEGACY-63223-1799-F9CA7F09","","RETAIL","","INDIVIDUAL"
"1800","35705","2de2c11f-886a-52de-ae29-155c96515409","LEGACY-35705-1800-FE29772A","","RETAIL","","INDIVIDUAL"
"1801","86723","bf1eaf95-2ea9-50d7-a899-511b0b33d26c","LEGACY-86723-1801-0864DB45","","RETAIL","","INDIVIDUAL"
"1802","60853","9ba97f7f-5712-519a-b634-c376fffe3df7","LEGACY-60853-1802-0A5AEBB9","","RETAIL","","INDIVIDUAL"
"1803","53764","d373f260-8f20-5cb9-bb95-7cb33305f484","LEGACY-53764-1803-C12C476D","","RETAIL","","INDIVIDUAL"
"1804","18948","198b128b-b0b8-50d3-8149-4f2d4ee6ef8a","LEGACY-18948-1804-5D602083","","RETAIL","","INDIVIDUAL"
"1805","59216","6fcb1d0b-99a7-5432-9aff-3184e7d4a8a7","LEGACY-59216-1805-71F8800F","","RETAIL","","INDIVIDUAL"
"1806","25661","8e03b9b5-cfc1-5936-bd58-1f1e07865ef8","LEGACY-25661-1806-A251A0DF","","RETAIL","","INDIVIDUAL"
"1807","32501","9a39d3d9-aa40-5fc9-8390-644f8f01bc9e","LEGACY-32501-1807-4D45FA2E","","RETAIL","","INDIVIDUAL"
"1808","30041","ab971112-1f23-5a85-86ee-63343e6961eb","LEGACY-30041-1808-6CBDFE65","","RETAIL","","INDIVIDUAL"
"1809","643111","19910a0b-4090-5104-8b3a-308103ccc07a","LEGACY-643111-1809-40FCC6F1","","RETAIL","","INDIVIDUAL"
"1810","89393","2298f62d-43ae-5c66-80db-0b16c1129dcb","LEGACY-89393-1810-0CC50B24","","RETAIL","","INDIVIDUAL"
"1811","49596","3ef6e3d0-6c8d-52b3-b053-3ee7e84ce378","LEGACY-49596-1811-9682595C","","RETAIL","","INDIVIDUAL"
"1813","30697","8555c9d4-4296-5e51-9935-40b3ad40ddc9","LEGACY-30697-1813-4C463537","","RETAIL","","INDIVIDUAL"
"1814","19630","cce35e47-c30e-546b-95bd-c9a068d4db54","LEGACY-19630-1814-D0F148DF","","RETAIL","","INDIVIDUAL"
"1815","68701","9769fa94-1097-5f05-bfdb-5873c2912100","LEGACY-68701-1815-75246DBD","","RETAIL","","INDIVIDUAL"
"1816","60920","0d18e320-492a-5319-bb5a-e9d3563db22f","LEGACY-60920-1816-C99F91E6","","RETAIL","","INDIVIDUAL"
"1817","16458","0e38eb0e-3a6f-53f8-aca6-481b797f06a2","LEGACY-16458-1817-DE1D9401","","RETAIL","","INDIVIDUAL"
"1818","62175","d0d61cde-cecf-5364-aec8-017e7324e91e","LEGACY-62175-1818-2F39BDFA","","RETAIL","","INDIVIDUAL"
"1819","66731","7d5f8c8f-a996-5342-8de8-dbc6d2bacc01","LEGACY-66731-1819-4DEC030D","","RETAIL","","INDIVIDUAL"
"1820","23151","19fc4f15-fab2-5fb8-9296-775546e1681a","LEGACY-23151-1820-D4506736","","RETAIL","","INDIVIDUAL"
"1821","55352","2d4d7d8e-18b4-5c7a-90da-b6b8e509ed96","LEGACY-55352-1821-556098FE","","RETAIL","","INDIVIDUAL"
"1822","62614","60d1d26e-2336-5fbc-bff2-c3979c29c502","LEGACY-62614-1822-5E51D1B0","","RETAIL","","INDIVIDUAL"
"1823","39310","a0e09370-e0b9-51ce-b0d8-2d10daeae621","LEGACY-39310-1823-EDAC886A","","RETAIL","","INDIVIDUAL"
"1824","36784","225bba1f-7db1-5872-abe5-e9fdde098360","LEGACY-36784-1824-161EB94C","","RETAIL","","INDIVIDUAL"
"1825","47552","6478dd67-34f1-580b-9a9a-a435a442c77e","LEGACY-47552-1825-0B2C2A93","","RETAIL","","INDIVIDUAL"
"1826","87619","de559e9e-fc33-5b54-83a7-ab85ba3f7849","LEGACY-87619-1826-B90920AF","","RETAIL","","INDIVIDUAL"
"1827","13416","b6b539eb-e5e4-558f-8e41-5ef9974a5ea3","LEGACY-13416-1827-ABD4CE41","","RETAIL","","INDIVIDUAL"
"1828","40929","3c532e18-58f7-51a6-875a-786283361425","LEGACY-40929-1828-43168147","","RETAIL","","INDIVIDUAL"
"1829","97166","6a35f5dc-2d1e-5a5f-8ab5-5f21887d5ecf","LEGACY-97166-1829-F7DB08AB","","RETAIL","","INDIVIDUAL"
"1830","17523","68b561d8-3940-574c-99f6-60ce8c671bb5","LEGACY-17523-1830-A1CF66F7","","RETAIL","","INDIVIDUAL"
"1831","28506","1d0e8c99-af4c-554f-8896-f0e9014f21e6","LEGACY-28506-1831-2933A595","","RETAIL","","INDIVIDUAL"
"1832","51583","faf720b3-cc60-55c6-a07c-0f252c06eeef","LEGACY-51583-1832-2B40E203","","RETAIL","","INDIVIDUAL"
"1833","94111","5ad9d628-8902-5e8d-a036-98acfbaff540","LEGACY-94111-1833-83E1D662","","RETAIL","","INDIVIDUAL"
"1834","24485","3d48cf6d-e3be-5caa-acd0-43b75b974623","LEGACY-24485-1834-89EF80A4","","RETAIL","","INDIVIDUAL"
"1835","77678","beb725e1-863f-57f0-83aa-3059fff268a7","LEGACY-77678-1835-A3F5FC79","","RETAIL","","INDIVIDUAL"
"1836","75478","47f4b1f3-2aaa-5907-860f-c66e5cca06fd","LEGACY-75478-1836-497A98C6","","RETAIL","","INDIVIDUAL"
"1837","75361","7ba30509-a75f-5c81-9671-857316652649","LEGACY-75361-1837-040DAB3D","","RETAIL","","INDIVIDUAL"
"1838","27915","a90fd0a9-e3ab-5295-b658-f89598307420","LEGACY-27915-1838-735EE7BD","","RETAIL","","INDIVIDUAL"
"1839","82800","9b4eacc8-712c-57f9-b868-1105410426f7","LEGACY-82800-1839-8320D13D","","RETAIL","","INDIVIDUAL"
"1840","97075","9f000662-6f49-5ccf-a419-02ba50b31be1","LEGACY-97075-1840-61F835F5","","RETAIL","","INDIVIDUAL"
"1841","42480","4fcae463-ec41-5397-b139-02cb867b3a57","LEGACY-42480-1841-5F6C4703","","RETAIL","","INDIVIDUAL"
"1842","64143","75e8ba6f-7032-5669-8d6a-d0a583fbf816","LEGACY-64143-1842-907AAE68","","RETAIL","","INDIVIDUAL"
"1843","35892","599366ae-a0e5-5472-bc8c-5ba0e7161f5b","LEGACY-35892-1843-FCF1A7F2","","RETAIL","","INDIVIDUAL"
"1844","45485","adf4a5c5-8377-5a2d-9918-de7e5426cc4e","LEGACY-45485-1844-4036B5BA","","RETAIL","","INDIVIDUAL"
"1845","55818","baec47b9-12d4-52cb-8b87-0ea2dff4250e","LEGACY-55818-1845-F30DFF4C","","RETAIL","","INDIVIDUAL"
"1846","33931","f245ba98-bc83-5201-94df-dc386d890166","LEGACY-33931-1846-0FD3F331","","RETAIL","","INDIVIDUAL"
"1847","76148","c2106700-56b9-5ca2-89db-ea95c447a299","LEGACY-76148-1847-09F827BD","","RETAIL","","INDIVIDUAL"
